id,nrd,idwn,name,irv,igw,botr,x,y,proj,geometry,bathymetry_ft
69,16,3004,SACRAMENTO,2972,1862,230.68,569434.4448,4445153.16,91060.73001377356,POINT (569434.4448 4445153.16),236.16525268554688
69,16,3004,SACRAMENTO,2973,1910,229.78,570193.2089,4444786.111,91903.61074546109,POINT (570193.2089 4444786.111),234.90245056152344
69,16,3004,SACRAMENTO,2974,1967,225.43,570894.3561,4444283.402,92766.35273165896,POINT (570894.3561 4444283.402),228.37872314453125
69,16,3004,SACRAMENTO,2975,1912,219.65,571714.5661,4444455.382,93604.39900991588,POINT (571714.5661 4444455.382),234.27267456054688
69,16,3004,SACRAMENTO,2976,1969,218.27,572415.7132,4444058.506,94410.07749120632,POINT (572415.7132 4444058.506),230.5483856201172
69,16,3004,SACRAMENTO,2977,1970,217.68,573011.027,4443555.796,95189.25389265237,POINT (573011.027 4443555.796),223.88426208496094
69,16,3004,SACRAMENTO,2978,2032,218.33,573262.3817,4442775.274,96009.25009855574,POINT (573262.3817 4442775.274),215.63197326660156
69,16,3004,SACRAMENTO,2979,2033,218.09,573566.6531,4441981.522,96859.32263802661,POINT (573566.6531 4441981.522),235.1368408203125
69,16,3004,SACRAMENTO,2980,2034,216.22,573923.8412,4441187.771,97729.73862408321,POINT (573923.8412 4441187.771),223.75326538085938
69,16,3004,SACRAMENTO,2981,2100,213.62,573765.091,4440235.269,98695.37918143511,POINT (573765.091 4440235.269),227.31890869140625
69,16,3004,SACRAMENTO,2982,2164,206.92,574148.7376,4439613.497,99425.985185842,POINT (574148.7376 4439613.497),219.47189331054688
69,16,3004,SACRAMENTO,2983,2224,206.99,574069.3624,4438740.37,100302.71272647513,POINT (574069.3624 4438740.37),227.9969482421875
69,16,3004,SACRAMENTO,2984,2226,210.07,574638.2177,4438197.973,101088.70945544227,POINT (574638.2177 4438197.973),228.68585205078125
69,16,3004,SACRAMENTO,2985,2167,208.06,575193.8439,4438766.828,101883.89275830446,POINT (575193.8439 4438766.828),214.7159423828125
71,9,3078,SACRAMENTO,3004,2167,208.06,575193.8439,4438766.828,101883.89275830446,POINT (575193.8439 4438766.828),214.7159423828125
